city,osmid,length_m,highway_type,lanes,speed_limit,is_oneway,intersection_density,poi_schools,poi_hospitals,poi_markets,poi_bus_stops,poi_fuel,annual_rainfall_mm,avg_temp_c,fog_days_per_year,pop_density_km2,urban_share_pct,is_blackspot,cat_risk_score,cat_predicted,morth_predicted,mismatch_category,lat,lon
Delhi,1074704868,58.6,residential,1,40,0,59,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.49772,77.29266
Delhi,303304925,36.7,residential,1,40,0,66,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.69476,77.26057
Delhi,1080186800,29.2,residential,1,40,0,34,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.74665,77.08289
Delhi,"[1072156661, 777681950]",205.1,residential,1,40,0,4,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.47168,77.15247
Delhi,170066865,15.7,tertiary,1,40,0,29,0,0,0,1,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.57908,76.9085
Delhi,422790997,11.5,residential,1,40,0,38,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.83992,77.11575
Delhi,1079741314,82.4,residential,1,40,0,45,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.82647,77.081
Delhi,"[1253234258, 1253231338, 686616623]",115.1,residential,1,40,0,19,1,0,0,2,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.57732,77.24427
Delhi,1076788849,155.1,residential,1,40,0,15,1,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.56702,77.27358
Delhi,171527874,19.5,residential,1,40,0,90,0,1,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.69866,77.08617
Delhi,422419599,115.9,residential,1,40,0,46,0,3,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.65371,77.06325
Delhi,1491586818,259.0,primary,1,50,1,5,0,0,0,2,0,723.7,30.2,0.0,11320,97.5,1,0.995,1,1,Confirmed Black Spot,28.5879,77.25919
Delhi,1075090763,8.0,residential,1,40,0,64,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.67401,77.26688
Delhi,212739045,183.8,residential,1,40,0,39,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.72176,77.05032
Delhi,1073009271,26.9,residential,1,40,0,38,0,1,0,1,1,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.75614,77.14978
Delhi,700293878,68.9,residential,1,40,0,16,2,0,1,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.63106,77.22875
Delhi,421284086,121.4,residential,1,40,0,25,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.51907,76.96288
Delhi,423301243,18.1,residential,1,40,0,24,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.62612,77.01565
Delhi,1070500878,65.3,residential,1,40,0,38,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.71943,77.24494
Delhi,176162161,111.9,primary,1,60,1,16,1,0,0,1,0,723.7,30.2,0.0,11320,97.5,1,1.0,1,1,Confirmed Black Spot,28.56614,77.1663
Delhi,1080170223,84.3,primary,1,40,1,13,3,0,0,0,0,723.7,30.2,0.0,11320,97.5,1,1.0,1,1,Confirmed Black Spot,28.79356,77.03715
Delhi,1071426892,151.3,residential,1,40,0,35,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.66478,77.26134
Delhi,423107231,21.3,residential,1,40,0,13,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.57278,76.94778
Delhi,1071798691,60.3,residential,1,40,0,33,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.75522,77.18318
Delhi,424018520,31.0,residential,1,40,0,20,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.64584,77.05869
Delhi,423381028,42.7,residential,1,40,0,57,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.66998,77.06779
Delhi,"[1311977376, 1274032653, 1274032654, 625482870, 1125550298]",703.6,trunk,3,70,1,4,1,0,0,0,1,723.7,30.2,0.0,11320,97.5,1,0.9999,1,0,Government Blind Spot,28.83219,77.1297
Delhi,1080286214,331.8,secondary,2,60,1,8,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.162,0,1,Safe (Both Agree),28.8203,76.97708
Delhi,1072955803,113.6,residential,1,40,0,25,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.7532,77.14665
Delhi,171500948,474.9,residential,1,40,0,15,4,1,0,3,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.69478,77.10789
Delhi,423105391,56.0,residential,1,40,0,14,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.64519,76.95976
Delhi,1150892099,49.6,residential,1,40,0,15,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.74272,77.21823
Delhi,78154438,24.3,residential,1,40,0,66,1,1,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.68021,77.17187
Delhi,684712018,15.3,residential,1,40,0,84,0,3,0,0,1,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.68644,77.29092
Delhi,78542403,34.7,residential,1,40,0,48,9,3,1,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.7342,77.11006
Delhi,"[190333632, 190333642, 190333630]",1925.7,secondary,3,50,1,0,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0004,0,0,Safe (Both Agree),28.53148,77.17122
Delhi,1073731846,24.0,residential,1,40,0,16,2,1,1,1,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.70677,77.22
Delhi,1072237897,49.5,residential,1,40,0,37,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.72658,77.21716
Delhi,1079416626,56.1,residential,1,40,0,104,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.80232,77.05824
Delhi,1072220271,78.8,residential,1,40,0,44,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.74824,77.18468
Delhi,1090402159,38.0,residential,1,40,0,29,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.58241,77.24515
Delhi,1080273664,75.1,residential,1,40,0,52,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.70192,77.07331
Delhi,1072167680,22.8,residential,1,40,0,40,0,0,0,0,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.76553,77.18384
Delhi,423587795,66.9,residential,1,40,0,50,0,0,0,2,0,723.7,30.2,0.0,11320,97.5,0,0.0,0,0,Safe (Both Agree),28.50052,77.29309
Delhi,587123752,128.7,primary,2,40,1,22,1,0,0,2,0,723.7,30.2,0.0,11320,97.5,1,1.0,1,1,Confirmed Black Spot,28.49692,77.30243
Delhi,557707167,77.0,secondary,2,40,1,19,0,2,0,2,0,723.7,30.2,0.0,11320,97.5,1,0.9993,1,1,Confirmed Black Spot,28.54203,77.23177
